mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
1.000,0.929,0.899,1.000,0,0.75,0,0.75,1.73,3.50,5.00,1.75,3.70,5.50,53.0,18.8,28.2,0.0,34.0,52.0,0.0,26.0,0.0,36.0,0.0,0.0,53.0,0.0,35.0,3
0.860,1.069,0.970,0.929,0,1.25,0,1.25,1.33,5.50,7.50,1.36,5.25,9.50,58.7,14.2,27.1,0.0,24.0,69.0,0.0,41.0,0.0,27.0,0.0,0.0,71.0,0.0,48.0,3
0.879,1.049,0.850,1.049,0,0.75,0,0.5,1.80,3.50,4.50,1.70,4.00,5.25,55.8,17.1,27.1,0.0,36.0,56.0,0.0,36.0,0.0,38.0,0.0,0.0,59.0,0.0,36.0,3
0.909,0.990,0.860,1.040,0,0.0,0,0.25,2.10,3.30,3.50,2.63,3.40,2.88,32.9,19.6,47.4,0.0,3.0,41.0,0.0,0.0,34.0,0.0,2.0,0.0,42.0,39.0,0.0,3
1.049,0.850,0.840,1.060,0.25,0,0.25,0,3.00,3.40,2.30,3.60,3.30,2.25,47.2,20.7,32.1,0.0,52.0,37.0,0.0,5.0,0.0,43.0,0.0,0.0,38.0,0.0,3.0,0
1.020,0.879,0.980,0.919,0,0.5,0,0.5,2.00,3.40,3.75,2.00,3.60,4.00,47.6,20.6,31.8,0.0,32.0,44.0,0.0,12.0,0.0,32.0,0.0,0.0,45.0,0.0,17.0,1
0.830,1.069,0.860,1.040,0,0.5,0,0.5,1.91,3.40,4.00,1.91,3.80,4.20,77.9,14.7,7.4,0.0,70.0,67.0,0.0,82.0,0.0,76.0,0.0,0.0,68.0,0.0,84.0,0
1.100,0.800,1.060,0.840,0,0.0,0,0.25,2.38,3.40,2.88,3.00,3.75,2.38,38.2,16.2,45.5,0.0,6.0,53.0,0.0,0.0,33.0,7.0,0.0,0.0,55.0,30.0,0.0,3
1.040,0.860,0.990,0.909,0,0.0,0.0,0.0,2.75,3.30,2.50,2.90,3.30,2.63,55.5,14.9,29.5,0.0,61.0,56.0,0.0,10.0,0.0,63.0,0.0,0.0,56.0,0.0,13.0,3
0.919,0.980,1.009,0.889,0,0.25,0,0.25,2.25,3.25,3.25,2.25,3.40,3.50,72.9,9.7,17.5,0.0,88.0,75.0,0.0,57.0,0.0,86.0,0.0,0.0,76.0,0.0,57.0,3
0.740,1.185,0.950,0.950,0,0.0,0,0.0,2.63,3.30,2.63,2.40,3.50,3.10,66.5,19.8,13.8,100.0,0.0,44.0,0.0,62.0,0.0,85.0,0.0,0.0,46.0,0.0,63.0,3
1.080,0.820,1.049,0.850,0,0.5,0,0.5,2.00,3.40,3.75,2.05,3.30,4.20,68.5,18.6,12.9,0.0,70.0,55.0,0.0,69.0,0.0,69.0,0.0,0.0,55.0,0.0,72.0,0
