mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
1.000,0.800,0.850,1.000,0,1.0,0,1.25,1.36,4.50,9.00,1.55,3.60,7.00,47.6,23.9,28.5,0.0,25.0,40.0,0.0,34.0,0.0,25.0,0.0,0.0,42.0,0.0,40.0,3
0.875,0.975,0.800,1.049,0,0.75,0,1.0,1.44,3.80,9.00,1.70,3.50,5.25,64.5,14.0,21.6,0.0,48.0,69.0,0.0,59.0,0.0,47.0,0.0,0.0,70.0,0.0,63.0,3
0.950,0.899,1.049,0.800,0.25,0,0.25,0,3.75,3.25,2.04,3.40,3.30,2.14,17.6,27.1,55.4,53.0,0.0,26.0,0.0,0.0,53.0,0.0,54.0,0.0,27.0,52.0,0.0,3
1.024,0.825,1.149,0.725,0,0.0,0.0,0.0,2.87,3.50,2.30,2.70,3.40,2.50,17.0,18.7,64.3,60.0,0.0,52.0,0.0,0.0,96.0,0.0,59.0,0.0,52.0,87.0,0.0,3
0.750,1.040,0.975,0.875,0,0.0,0,0.5,1.90,3.60,3.75,2.37,3.30,2.90,52.1,19.8,28.1,0.0,56.0,44.0,0.0,27.0,0.0,51.0,0.0,0.0,45.0,0.0,26.0,1
1.049,0.800,1.250,0.675,0.75,0,0.0,0.0,2.87,3.60,2.30,4.75,4.20,1.61,13.3,9.4,77.3,66.0,0.0,78.0,0.0,0.0,52.0,0.0,70.0,0.0,80.0,60.0,0.0,0
0.875,0.975,0.925,0.925,0,1.0,0,1.25,1.33,4.75,9.50,1.44,4.33,7.00,52.2,20.9,26.9,0.0,24.0,52.0,0.0,39.0,0.0,28.0,0.0,0.0,54.0,0.0,49.0,3
0.825,1.024,1.100,0.774,0.25,0.0,0,0.0,2.70,3.60,2.40,2.90,3.60,2.20,24.3,18.1,57.6,34.0,0.0,49.0,0.0,0.0,56.0,0.0,34.0,0.0,52.0,59.0,0.0,0
1.049,0.800,0.825,1.024,0,0.75,0,1.25,1.30,4.50,13.00,1.72,3.40,5.25,41.7,28.9,29.4,0.0,27.0,32.0,0.0,33.0,0.0,25.0,0.0,0.0,28.0,0.0,39.0,3
0.750,1.125,0.825,1.024,0,0.0,0,0.0,2.60,3.00,2.90,2.54,2.80,3.20,52.8,33.1,14.1,0.0,58.0,7.0,0.0,59.0,0.0,55.0,0.0,0.0,5.0,0.0,60.0,3
0.850,1.000,0.925,0.925,0.25,0.0,0,0.25,2.20,3.00,3.60,3.25,3.00,2.37,31.1,27.6,41.3,6.0,0.0,19.0,0.0,0.0,21.0,0.0,10.0,0.0,19.0,22.0,0.0,3
0.899,0.950,0.774,1.100,0.0,0.0,0,0.0,2.45,3.10,3.00,2.75,3.10,2.62,35.7,28.3,36.0,0.0,6.0,16.0,0.0,0.0,11.0,4.0,0.0,0.0,16.0,9.0,0.0,1
0.950,0.899,0.875,0.975,0,0.75,0,0.75,1.61,4.20,4.75,1.70,4.20,4.20,76.2,11.4,12.4,0.0,61.0,75.0,0.0,74.0,0.0,63.0,0.0,0.0,77.0,0.0,76.0,0
0.800,1.000,1.024,0.825,0,0.25,0,0.0,2.80,3.40,2.40,2.04,3.60,3.30,74.0,12.3,13.8,0.0,81.0,70.0,0.0,67.0,0.0,81.0,0.0,0.0,71.0,0.0,67.0,0
0.770,1.020,1.050,0.750,0,0.5,0,0.75,1.75,3.50,4.75,1.75,3.50,4.75,45.5,35.7,18.8,0.0,19.0,3.0,0.0,46.0,0.0,23.0,0.0,0.0,7.0,0.0,54.0,0
0.750,1.125,0.774,1.100,0,0.0,0,0.0,2.50,3.40,2.70,2.25,3.40,3.00,36.4,27.8,35.8,0.0,6.0,18.0,0.0,0.0,6.0,7.0,0.0,0.0,20.0,7.0,0.0,0
0.950,0.899,0.825,1.024,0.25,0,0.25,0,2.90,3.50,2.30,3.25,3.50,2.20,51.2,9.9,38.9,0.0,55.0,72.0,0.0,0.0,9.0,49.0,0.0,0.0,73.0,9.0,0.0,1
1.020,0.830,1.000,0.850,0,0.5,0,0.25,2.04,3.00,4.10,1.90,3.25,4.33,54.7,24.8,20.5,0.0,49.0,38.0,0.0,53.0,0.0,47.0,0.0,0.0,38.0,0.0,54.0,3
0.850,1.000,0.800,1.049,0,0.25,0,0.25,2.04,3.25,3.75,2.04,3.10,3.80,40.3,36.1,23.6,0.0,12.0,0.0,3.0,25.0,0.0,17.0,0.0,2.0,0.0,0.0,34.0,0
